school,city,stateProvince,country,schoolcitystate,lon,lat
Ashford Sch,Ashford,AL,USA,"Ashford Sch, Ashford, AL",-85.232457,31.183804
Ashville,Ashville,AL,USA,"Ashville, Ashville, AL",-86.2544223,33.8370433
Athens,Athens,AL,USA,"Athens, Athens, AL",-86.9716741,34.8028661
Auburn,Auburn,AL,USA,"Auburn, Auburn, AL",-85.4807825,32.6098566
Austin,Decatur,AL,USA,"Austin, Decatur, AL",-87.0075914,34.5794759
Autauga Academy,Prattville,AL,USA,"Autauga Academy, Prattville, AL",-86.5424657,32.4714971
Autaugaville Sch,Autaugaville,AL,USA,"Autaugaville Sch, Autaugaville, AL",-86.660366,32.4346876
Baker,Mobile,AL,USA,"Baker, Mobile, AL",-88.2522215,30.6695103
Baldwin Co Sch,Bay Minette,AL,USA,"Baldwin Co Sch, Bay Minette, AL",-87.7875637,30.9125347
Baldwin County,Bay Minette,AL,USA,"Baldwin County, Bay Minette, AL",-87.7730474,30.8829628
Barbour Co Sch,Clayton,AL,USA,"Barbour Co Sch, Clayton, AL",-85.446231,31.868866
Bayside Academy,Daphne,AL,USA,"Bayside Academy, Daphne, AL",-87.9111082,30.6022196
Beauregard,Opelika,AL,USA,"Beauregard, Opelika, AL",-85.3717696,32.5503563
Ben C Rain Sch,Mobile,AL,USA,"Ben C Rain Sch, Mobile, AL",-88.0735688,30.6075638
Benjamin Russell Sch,Alexander City,AL,USA,"Benjamin Russell Sch, Alexander City, AL",-85.9504932,32.9379599
Berry Sch,Berry,AL,USA,"Berry Sch, Berry, AL",-87.6011905,33.6642465
Bessemer Academy,Hueytown,AL,USA,"Bessemer Academy, Hueytown, AL",-86.991878,33.354906
Bessemer Academy,Tuscaloosa,AL,USA,"Bessemer Academy, Tuscaloosa, AL",-86.991878,33.354906
Bessemer City,Bessemer,AL,USA,"Bessemer City, Bessemer, AL",-86.954437,33.4017766
Bibb Co Sch,Centreville,AL,USA,"Bibb Co Sch, Centreville, AL",-87.1422895,32.9562798
Blount,Eight Mile,AL,USA,"Blount, Eight Mile, AL",-88.1789417,30.7788699
Blount,Mobile,AL,USA,"Blount, Mobile, AL",-88.1789417,30.7788699
Boaz Sch,Boaz,AL,USA,"Boaz Sch, Boaz, AL",-86.1644937,34.2113704
Bob Jones,Madison,AL,USA,"Bob Jones, Madison, AL",-86.7422009,34.719135
Booker T Washington,Tuskegee,AL,USA,"Booker T Washington, Tuskegee, AL",-85.7334814,32.3996867
Brantley,Brantley,AL,USA,"Brantley, Brantley, AL",-86.2571786,31.5823832
Brantley Elem Sch,Selma,AL,USA,"Brantley Elem Sch, Selma, AL",-86.9608986,32.4241531
Briarwood Christian,Birmingham,AL,USA,"Briarwood Christian, Birmingham, AL",-86.6898277,33.3916602
Brindlee Mt Sch,Guntersville,AL,USA,"Brindlee Mt Sch, Guntersville, AL",-86.4224872,34.3761508
Brooks,Killen,AL,USA,"Brooks, Killen, AL",-87.494043,34.8580671
Brookwood Sch,Brookwood,AL,USA,"Brookwood Sch, Brookwood, AL",-87.3152037,33.2598688
Buckhorn,New Market,AL,USA,"Buckhorn, New Market, AL",-86.4555737,34.8704143
Calera,Calera,AL,USA,"Calera, Calera, AL",-86.7535975,33.1028965
Carroll Sch,Ozark,AL,USA,"Carroll Sch, Ozark, AL",-85.6260619,31.4596105
Carver,Montgomery,AL,USA,"Carver, Montgomery, AL",-86.324841,32.3489635
Cedar Bluff Sch,Cedar Bluff,AL,USA,"Cedar Bluff Sch, Cedar Bluff, AL",-85.6039713,34.2195243
Central,Phenix City,AL,USA,"Central, Phenix City, AL",-85.0395037,32.4849608
Central Sch,Florence,AL,USA,"Central Sch, Florence, AL",-87.7978487,34.8969468
Central Sch,Rockford,AL,USA,"Central Sch, Rockford, AL",-86.2222814,32.8875301
Central Sch,Tuscaloosa,AL,USA,"Central Sch, Tuscaloosa, AL",-87.5756473,33.1995228
Charles Henderson Sch,Troy,AL,USA,"Charles Henderson Sch, Troy, AL",-85.9471008,31.8028673
Chelsea Sch,Chelsea,AL,USA,"Chelsea Sch, Chelsea, AL",-86.6356681,33.3345831
Cherokee Co Sch,Centre,AL,USA,"Cherokee Co Sch, Centre, AL",-85.684578,34.1665322
Chickasaw,Chickasaw,AL,USA,"Chickasaw, Chickasaw, AL",-88.0747222,30.7637991
Chilton Co Sch,Clanton,AL,USA,"Chilton Co Sch, Clanton, AL",-86.6130254,32.8260519
Choctaw County,Butler,AL,USA,"Choctaw County, Butler, AL",-88.2219652,32.0895908
Citronelle Sch,Citronelle,AL,USA,"Citronelle Sch, Citronelle, AL",-88.2375372,31.0949327
Clarke County,Grove Hill,AL,USA,"Clarke County, Grove Hill, AL",-87.7772218,31.7087681
Clay Central,Lineville,AL,USA,"Clay Central, Lineville, AL",-85.7874336,33.2907082
Clay Co,Ashland,AL,USA,"Clay Co, Ashland, AL",-85.8360741,33.2737256
Clay-Chalkville,Pinson,AL,USA,"Clay-Chalkville, Pinson, AL",-86.6023597,33.6954677
Clay-Chalkville High School,Pinson,AL,USA,"Clay-Chalkville High School, Pinson, AL",-86.6023597,33.6954677
Cleburne Co Sch,Heflin,AL,USA,"Cleburne Co Sch, Heflin, AL",-85.5719129,33.6481359
Coffeeville Sch,Coffeeville,AL,USA,"Coffeeville Sch, Coffeeville, AL",-88.0649188,31.7496381
Colbert Co Sch,Leighton,AL,USA,"Colbert Co Sch, Leighton, AL",-87.5246864,34.6958606
Columbia,Huntsville,AL,USA,"Columbia, Huntsville, AL",-86.699266,34.723229
Coosa Valley Academy,Harpersville,AL,USA,"Coosa Valley Academy, Harpersville, AL",-86.4301993,33.3349038
Cordova,Cordova,AL,USA,"Cordova, Cordova, AL",-87.1833349,33.7598291
Cottonwood Sch,Cottonwood,AL,USA,"Cottonwood Sch, Cottonwood, AL",-85.3020754,31.057898
Cullman Sch,Cullman,AL,USA,"Cullman Sch, Cullman, AL",-86.8418216,34.1885944
Dadeville,Dadeville,AL,USA,"Dadeville, Dadeville, AL",-85.7635692,32.831238
Dale County Christian,Ozark,AL,USA,"Dale County Christian, Ozark, AL",-85.5733908,31.4226563
Daleville Sch,Daleville,AL,USA,"Daleville Sch, Daleville, AL",-85.7113,31.3149
Daleville Sch,Daleville,AL,USA,"NA, Daleville, AL",-85.7129908,31.3101719
Dallas County,Plantersville,AL,USA,"Dallas County, Plantersville, AL",-86.9244334,32.6567975
Daphne,Daphne,AL,USA,"Daphne, Daphne, AL",-87.9036047,30.6035255
Decatur,Decatur,AL,USA,"Decatur, Decatur, AL",-86.9718438,34.5242042
Demopolis,Demopolis,AL,USA,"Demopolis, Demopolis, AL",-87.836402,32.5176361
Deshler Sch,Tuscumbia,AL,USA,"Deshler Sch, Tuscumbia, AL",-87.7016101,34.7386085
Dora,Dora,AL,USA,"Dora, Dora, AL",-87.0902772,33.728717
Dothan,Dothan,AL,USA,"Dothan, Dothan, AL",-85.3904888,31.2232313
East Limestone,Athens,AL,USA,"East Limestone, Athens, AL",-86.8325272,34.8168783
Edgewood Academy,Elmore,AL,USA,"Edgewood Academy, Elmore, AL",-86.2928408,32.5484932
Elba,Elba,AL,USA,"Elba, Elba, AL",-86.0677243,31.4146108
Elba Sch,Elba,AL,USA,"Elba Sch, Elba, AL",-86.1033815,31.4272981
Elmore Co Sch,Eclectic,AL,USA,"Elmore Co Sch, Eclectic, AL",-86.2158497,32.6161498
Enterprise,Enterprise,AL,USA,"Enterprise, Enterprise, AL",-85.8202529,31.3275478
Erwin Sch,Birmingham,AL,USA,"Erwin Sch, Birmingham, AL",-86.6982328,33.6465774
Escambia Academy,Atmore,AL,USA,"Escambia Academy, Atmore, AL",-87.407951,31.029847
Escambia Co Sch,Atmore,AL,USA,"Escambia Co Sch, Atmore, AL",-87.4918876,31.0175852
Etowah,Attalla,AL,USA,"Etowah, Attalla, AL",-86.0885852,34.0217639
Eufaula,Eufaula,AL,USA,"Eufaula, Eufaula, AL",-85.1742202,31.8275101
Fairfield Preparatory Sch,Fairfield,AL,USA,"Fairfield Preparatory Sch, Fairfield, AL",-86.9082481,33.4912583
Fairfield Preparatory School,Fairfield,AL,USA,"Fairfield Preparatory School, Fairfield, AL",-86.9148132,33.4744807
Fairhope,Fairhope,AL,USA,"Fairhope, Fairhope, AL",-87.9033261,30.5229719
Faith Academy,Mobile,AL,USA,"Faith Academy, Mobile, AL",-88.2445746,30.7027574
Fayette County,Fayette,AL,USA,"Fayette County, Fayette, AL",-87.7763333,33.6871392
Flomaton Sch,Flomaton,AL,USA,"Flomaton Sch, Flomaton, AL",-87.2690495,31.0059355
Flomaton Sch,Flomaton,AL,USA,"NA, Flomaton, AL",-87.260807,31.000182
Florence,Florence,AL,USA,"Florence, Florence, AL",-87.677251,34.79981
Foley,Foley,AL,USA,"Foley, Foley, AL",-87.6835974,30.4065868
Fort Payne,Fort Payne,AL,USA,"Fort Payne, Fort Payne, AL",-85.7196893,34.4442547
Fultondale,Birmingham,AL,USA,"Fultondale, Birmingham, AL",-86.7967857,33.6102837
Gadsden City,Gadsden,AL,USA,"Gadsden City, Gadsden, AL",-86.0066386,34.014264
Gardendale Sch,Gardendale,AL,USA,"Gardendale Sch, Gardendale, AL",-86.8179238,33.647223
Gaston Sch,Gadsden,AL,USA,"Gaston Sch, Gadsden, AL",-85.9279238,34.0689073
George Washington Carver,Birmingham,AL,USA,"George Washington Carver, Birmingham, AL",-86.8268529,33.5571297
Georgiana Sch,Georgiana,AL,USA,"Georgiana Sch, Georgiana, AL",-86.7285847,31.6280598
Glenwood School,Phenix City,AL,USA,"Glenwood School, Phenix City, AL",-85.0497452,32.5370292
Gordo,Gordo,AL,USA,"Gordo, Gordo, AL",-87.9027962,33.3201178
Gordo Sch,Gordo,AL,USA,"Gordo Sch, Gordo, AL",-87.9068547,33.3249637
Goshen,Goshen,AL,USA,"Goshen, Goshen, AL",-86.1182882,31.7229352
Goshen Sch,Goshen,AL,USA,"Goshen Sch, Goshen, AL",-86.1242048,31.7226798
Greene County,Eutaw,AL,USA,"Greene County, Eutaw, AL",-87.8875145,32.8406848
Greensboro West,Greensboro,AL,USA,"Greensboro West, Greensboro, AL",-87.5882996,32.7079616
Greenville,Greenville,AL,USA,"Greenville, Greenville, AL",-86.6199981,31.8451189
Greenville,Montgomery,AL,USA,"Greenville, Montgomery, AL",-86.2759519,32.3767668
Gulf Shores Sch,Leroy,AL,USA,"Gulf Shores Sch, Leroy, AL",-87.6826328,30.2696411
Guntersville Sch,Guntersville,AL,USA,"Guntersville Sch, Guntersville, AL",-86.313529,34.3199401
Haleyville Sch,Haleyville,AL,USA,"Haleyville Sch, Haleyville, AL",-87.6048658,34.2255535
Handley,Roanoke,AL,USA,"Handley, Roanoke, AL",-85.372701,33.149055
Hartselle,Hartselle,AL,USA,"Hartselle, Hartselle, AL",-86.9352842,34.4434282
Hartselle Sch,Hartselle,AL,USA,"Hartselle Sch, Hartselle, AL",-86.9212357,34.4552687
Hayden,Hayden,AL,USA,"Hayden, Hayden, AL",-86.757773,33.8926003
Hazel Green,Hazel Green,AL,USA,"Hazel Green, Hazel Green, AL",-86.5719383,34.9323102
Hewitt-Trussville,Trussville,AL,USA,"Hewitt-Trussville, Trussville, AL",-86.590742,33.6658001
Highland Home Sch,Highland Home,AL,USA,"Highland Home Sch, Highland Home, AL",-86.3131159,31.9529407
Hillcrest,Evergreen,AL,USA,"Hillcrest, Evergreen, AL",-86.9370613,31.4309505
Hillcrest,Tuscaloosa,AL,USA,"Hillcrest, Tuscaloosa, AL",-87.5376057,33.1299227
Homewood,Birmingham,AL,USA,"Homewood, Birmingham, AL",-86.8008228,33.4717732
Hoover,Birmingham,AL,USA,"Hoover, Birmingham, AL",-86.8113781,33.4053867
Hoover,Hoover,AL,USA,"Hoover, Hoover, AL",-86.8113781,33.4053867
Houston Academy,Dothan,AL,USA,"Houston Academy, Dothan, AL",-85.4486527,31.244063
Houston Co Sch,Columbia,AL,USA,"Houston Co Sch, Columbia, AL",-85.1132884,31.2937712
Hueytown,Hueytown,AL,USA,"Hueytown, Hueytown, AL",-86.9966606,33.4512197
Huffman,Birmingham,AL,USA,"Huffman, Birmingham, AL",-86.6732746,33.5988322
Huntsville,Huntsville,AL,USA,"Huntsville, Huntsville, AL",-86.5861037,34.7303688
IMG Academy,Tuscaloosa,AL,USA,"IMG Academy, Tuscaloosa, AL",-82.6086662,27.4408534
J.O. Johnson,Huntsville,AL,USA,"J.O. Johnson, Huntsville, AL",-86.609141,34.79933
Jackson,Jackson,AL,USA,"Jackson, Jackson, AL",-87.8944435,31.5090521
Jackson-Olin,Birmingham,AL,USA,"Jackson-Olin, Birmingham, AL",-86.8921028,33.5184546
Jacksonville Sch,Jacksonville,AL,USA,"Jacksonville Sch, Jacksonville, AL",-85.7615379,33.8076125
James Clemens,Madison,AL,USA,"James Clemens, Madison, AL",-86.7913915,34.7061372
Jefferson Davis,Montgomery,AL,USA,"Jefferson Davis, Montgomery, AL",-86.2623623,32.3432433
Jemison,Huntsville,AL,USA,"Jemison, Huntsville, AL",-86.615988,34.786504
Jemison,Jemison,AL,USA,"Jemison, Jemison, AL",-86.7466522,32.9598451
Jess Lanier,Hueytown,AL,USA,"Jess Lanier, Hueytown, AL",-86.9966606,33.4512197
John Carroll Catholic,Birmingham,AL,USA,"John Carroll Catholic, Birmingham, AL",-86.8325202,33.4437654
John L Leflore Preparatory Acad,Mobile,AL,USA,"John L Leflore Preparatory Acad, Mobile, AL",-88.0870103,30.7145083
John S Shaw Sch,Mobile,AL,USA,"John S Shaw Sch, Mobile, AL",-88.1837833,30.7174109
John T Morgan Academy,Selma,AL,USA,"John T Morgan Academy, Selma, AL",-87.0763963,32.3898673
Kingwood Christian,Tuscaloosa,AL,USA,"Kingwood Christian, Tuscaloosa, AL",-86.8235401,33.2641782
La Lumiere School,Birmingham,AL,USA,"La Lumiere School, Birmingham, AL",-86.7141761,41.7054471
Lafayette Sch,Lafayette,AL,USA,"Lafayette Sch, Lafayette, AL",-85.3965592,32.8994617
Lanett,Lanett,AL,USA,"Lanett, Lanett, AL",-85.1904971,32.8687391
Lanett Senior Sch,Lanett,AL,USA,"Lanett Senior Sch, Lanett, AL",-85.1970425,32.8565288
Lanier,Montgomery,AL,USA,"Lanier, Montgomery, AL",-86.3099816,32.3558261
Lauderdale Co Sch,Rogersville,AL,USA,"Lauderdale Co Sch, Rogersville, AL",-87.2895739,34.8286364
Lawrence County,Moulton,AL,USA,"Lawrence County, Moulton, AL",-87.2933533,34.4812062
Lee,Huntsville,AL,USA,"Lee, Huntsville, AL",-86.5780755,34.7556916
Leeds,Leeds,AL,USA,"Leeds, Leeds, AL",-86.5444288,33.5481597
Lee-scott Academy,Auburn,AL,USA,"Lee-scott Academy, Auburn, AL",-85.4500737,32.6375663
Leroy Sch,Leroy,AL,USA,"Leroy Sch, Leroy, AL",-87.9708442,31.5031437
Lincoln Sch,Lincoln,AL,USA,"Lincoln Sch, Lincoln, AL",-86.1009049,33.6373017
Linden Sch,Linden,AL,USA,"Linden Sch, Linden, AL",-87.7975819,32.3095392
Lineville Sch,Lineville,AL,USA,"Lineville Sch, Lineville, AL",-85.7575644,33.3106516
Loachapoka Sch,Notasulga,AL,USA,"Loachapoka Sch, Notasulga, AL",-85.5918964,32.6040231
Luverne,Luverne,AL,USA,"Luverne, Luverne, AL",-86.2638492,31.7165455
Macon-East Montgomery Academy,Cecil,AL,USA,"Macon-East Montgomery Academy, Cecil, AL",-86.0123126,32.3026195
Madison Academy,Madison,AL,USA,"Madison Academy, Madison, AL",-86.7056083,34.7050932
Madison Co Sch,Gurley,AL,USA,"Madison Co Sch, Gurley, AL",-86.3755916,34.7023589
Madison Co Sch,Madison,AL,USA,"Madison Co Sch, Madison, AL",-86.4592091,34.8551917
Madison County,Gurley,AL,USA,"Madison County, Gurley, AL",-86.3758201,34.7017558
Maplesville,Maplesville,AL,USA,"Maplesville, Maplesville, AL",-86.8716549,32.7884608
Maplesville Sch,Maplesville,AL,USA,"Maplesville Sch, Maplesville, AL",-86.8783409,32.8025733
Marbury Sch,Marbury,AL,USA,"Marbury Sch, Marbury, AL",-86.4738216,32.7003563
McAdory,McCalla,AL,USA,"McAdory, McCalla, AL",-87.0011776,33.3314371
McGill Toolen,Mobile,AL,USA,"McGill Toolen, Mobile, AL",-88.0723447,30.6892674
Mckenzie Sch,Mckenzie,AL,USA,"Mckenzie Sch, Mckenzie, AL",-86.7151682,31.545341
Midfield Sch,Birmingham,AL,USA,"Midfield Sch, Birmingham, AL",-86.9148272,33.4533627
Minor,Adamsville,AL,USA,"Minor, Adamsville, AL",-86.9333123,33.5945201
Mobile Christian School,Mobile,AL,USA,"Mobile Christian School, Mobile, AL",-88.1783088,30.6437135
Monroe Academy,Monroeville,AL,USA,"Monroe Academy, Monroeville, AL",-87.3404181,31.4748546
Montevallo,Montevallo,AL,USA,"Montevallo, Montevallo, AL",-86.8641558,33.1006746
Montgomery Catholic Preparatory,Montgomery,AL,USA,"Montgomery Catholic Preparatory, Montgomery, AL",-86.2160027,32.3400861
Moody Sch,Moody,AL,USA,"Moody Sch, Moody, AL",-86.4599754,33.610698
Mortimer Jordan,Morris,AL,USA,"Mortimer Jordan, Morris, AL",-86.7664763,33.7864043
Mountain Brook,Birmingham,AL,USA,"Mountain Brook, Birmingham, AL",-86.7522107,33.5009384
Mountain View Baptist School,Birmingham,AL,USA,"Mountain View Baptist School, Birmingham, AL",-86.636262,33.6525379
Mt Brook Sch,Birmingham,AL,USA,"Mt Brook Sch, Birmingham, AL",-86.754141,33.502024
Munford,Munford,AL,USA,"Munford, Munford, AL",-85.9508005,33.5298282
Murphy,Mobile,AL,USA,"Murphy, Mobile, AL",-88.0866304,30.682838
Muscle Shoals,Athens,AL,USA,"Muscle Shoals, Athens, AL",-87.6461845,34.7430844
Muscle Shoals,Cherokee,AL,USA,"Muscle Shoals, Cherokee, AL",-87.6681637,34.7322293
Muscle Shoals,Muscle Shoals,AL,USA,"Muscle Shoals, Muscle Shoals, AL",-87.6675292,34.7448112
NA,Birmingham,AL,USA,"NA, Birmingham, AL",-86.8103567,33.5185892
NA,Boaz,AL,USA,"NA, Boaz, AL",-86.1520969,34.2031662
NA,Logan,AL,USA,"NA, Logan, AL",-87.0063949,34.1381565
NA,NA,AL,USA,"NA, NA, AL",-86.902298,32.3182314
NA,Notasulga,AL,USA,"NA, Notasulga, AL",-85.6724538,32.5606908
NA,Selma,AL,USA,"NA, Selma, AL",-87.0211007,32.4073589
NA,Tuscaloosa,AL,USA,"NA, Tuscaloosa, AL",-87.5691735,33.2098407
New Hope,New Hope,AL,USA,"New Hope, New Hope, AL",-86.3944307,34.5370339
North Jackson,Stevenson,AL,USA,"North Jackson, Stevenson, AL",-85.7896674,34.8995012
Northridge,Tuscaloosa,AL,USA,"Northridge, Tuscaloosa, AL",-87.5281828,33.244564
Northview,Dothan,AL,USA,"Northview, Dothan, AL",-85.3790619,31.270213
Northview,Prattville,AL,USA,"Northview, Prattville, AL",-86.4711353,32.5004001
Oak Mountain,Birmingham,AL,USA,"Oak Mountain, Birmingham, AL",-86.7593249,33.3247302
Oneonta,Oneonta,AL,USA,"Oneonta, Oneonta, AL",-86.472764,33.9481537
Opelika,Opelika,AL,USA,"Opelika, Opelika, AL",-85.3782795,32.6454116
Opp,Opp,AL,USA,"Opp, Opp, AL",-86.2555067,31.2826685
Opp Sch,Opp,AL,USA,"Opp Sch, Opp, AL",-86.2393705,31.2883874
Oxford,Munford,AL,USA,"Oxford, Munford, AL",-85.9508005,33.5298282
Oxford,Oxford,AL,USA,"Oxford, Oxford, AL",-85.8349648,33.6142714
Park Crossing,Montgomery,AL,USA,"Park Crossing, Montgomery, AL",-86.15953,32.3052367
Parker,Birmingham,AL,USA,"Parker, Birmingham, AL",-86.8296064,33.5151756
Parrish Sch,Parrish,AL,USA,"Parrish Sch, Parrish, AL",-87.2791489,33.7336457
Patrician Academy,Butler,AL,USA,"Patrician Academy, Butler, AL",-88.225576,32.082369
Paul W Bryant,Cottondale,AL,USA,"Paul W Bryant, Cottondale, AL",-87.453708,33.1578383
Pelham,Helena,AL,USA,"Pelham, Helena, AL",-86.8075776,33.3388936
Pelham,Pelham,AL,USA,"Pelham, Pelham, AL",-86.8099885,33.2856687
Pell City Sch,Pell City,AL,USA,"Pell City Sch, Pell City, AL",-86.2970998,33.6071108
Pickens Academy,Carrollton,AL,USA,"Pickens Academy, Carrollton, AL",-88.0903248,33.2531882
Pickens County,Reform,AL,USA,"Pickens County, Reform, AL",-88.0153008,33.378451
Piedmont,Piedmont,AL,USA,"Piedmont, Piedmont, AL",-85.614627,33.916767
Pike Co Sch,Brundidge,AL,USA,"Pike Co Sch, Brundidge, AL",-85.8219498,31.7327766
Pike Liberal Arts School,Troy,AL,USA,"Pike Liberal Arts School, Troy, AL",-85.9426703,31.7823349
Pinson Valley,Pinson,AL,USA,"Pinson Valley, Pinson, AL",-86.7153912,33.6527737
Pleasant Grove,Pleasant Grove,AL,USA,"Pleasant Grove, Pleasant Grove, AL",-86.9649101,33.5179126
Prattville,Montgomery,AL,USA,"Prattville, Montgomery, AL",-86.4596966,32.4640245
Prattville,Prattville,AL,USA,"Prattville, Prattville, AL",-86.4596966,32.4640245
Prattville Christian Academy,Prattville,AL,USA,"Prattville Christian Academy, Prattville, AL",-86.405138,32.479883
Priceville,Decatur,AL,USA,"Priceville, Decatur, AL",-86.8862594,34.5188586
R A Hubbard Sch,Courtland,AL,USA,"R A Hubbard Sch, Courtland, AL",-87.3099656,34.6814602
Ramsay,Birmingham,AL,USA,"Ramsay, Birmingham, AL",-86.798457,33.497616
Randolph County,Wedowee,AL,USA,"Randolph County, Wedowee, AL",-85.484675,33.3090047
Randolph School,Huntsville,AL,USA,"Randolph School, Huntsville, AL",-86.5580531,34.7066529
Reeltown Sch,Notasulga,AL,USA,"Reeltown Sch, Notasulga, AL",-85.8025967,32.6029455
Restoration Academy,Fairfield,AL,USA,"Restoration Academy, Fairfield, AL",-86.9153753,33.489855
Robert E. Lee,Montgomery,AL,USA,"Robert E. Lee, Montgomery, AL",-86.2720297,32.3785812
Robertsdale,Robertsdale,AL,USA,"Robertsdale, Robertsdale, AL",-87.7119324,30.5538048
Russell Co Sch,Seale,AL,USA,"Russell Co Sch, Seale, AL",-85.1506911,32.3338061
Russellville,Russellville,AL,USA,"Russellville, Russellville, AL",-87.7286431,34.5078726
Saint Clair Co Sch,Odenville,AL,USA,"Saint Clair Co Sch, Odenville, AL",-86.3706995,33.7031067
Saks,Anniston,AL,USA,"Saks, Anniston, AL",-85.8436597,33.7219643
Saraland,Saraland,AL,USA,"Saraland, Saraland, AL",-88.0705556,30.820742
Satsuma,Satsuma,AL,USA,"Satsuma, Satsuma, AL",-88.0561106,30.853241
Scottsboro Sch,Scottsboro,AL,USA,"Scottsboro Sch, Scottsboro, AL",-86.0307029,34.6706165
Selma Sch,Selma,AL,USA,"Selma Sch, Selma, AL",-87.0226785,32.4284032
Shades Valley,Birmingham,AL,USA,"Shades Valley, Birmingham, AL",-86.830395,33.460826
Sheffield,Sheffield,AL,USA,"Sheffield, Sheffield, AL",-87.6986407,34.7650887
Shelby County,Columbiana,AL,USA,"Shelby County, Columbiana, AL",-86.6072054,33.1781718
Sipsey Valley,Buhl,AL,USA,"Sipsey Valley, Buhl, AL",-87.7340538,33.1932214
Smiths Station,Smiths Station,AL,USA,"Smiths Station, Smiths Station, AL",-85.0985473,32.5401393
South Choctaw Academy,Toxey,AL,USA,"South Choctaw Academy, Toxey, AL",-88.3178887,31.91226
Southern Choctaw,Gilbertown,AL,USA,"Southern Choctaw, Gilbertown, AL",-88.3193787,31.8429084
Southside,Ashville,AL,USA,"Southside, Ashville, AL",-86.0224718,33.9245425
Southside,Gadsden,AL,USA,"Southside, Gadsden, AL",-86.0224718,33.9245425
Southside,Selma,AL,USA,"Southside, Selma, AL",-86.9290859,32.3271848
Spain Park,Birmingham,AL,USA,"Spain Park, Birmingham, AL",-86.7257473,33.3930724
Spanish Fort,Spanish Fort,AL,USA,"Spanish Fort, Spanish Fort, AL",-87.9018829,30.671469
Sparkman,Harvest,AL,USA,"Sparkman, Harvest, AL",-86.7160853,34.8342964
Springville Sch,Springville,AL,USA,"Springville Sch, Springville, AL",-86.4682996,33.7790318
Springwood School,Lanett,AL,USA,"Springwood School, Lanett, AL",-85.2094778,32.8762591
Sr Butler Sch,Huntsville,AL,USA,"Sr Butler Sch, Huntsville, AL",-86.6560606,34.7319822
St James School,Montgomery,AL,USA,"St James School, Montgomery, AL",-86.206625,32.337211
St Jude Educational Institute,Montgomery,AL,USA,"St Jude Educational Institute, Montgomery, AL",-86.328367,32.3521165
St. Clair County,Odenville,AL,USA,"St. Clair County, Odenville, AL",-86.396648,33.6773237
St. Luke's Episcopal,Mobile,AL,USA,"St. Luke's Episcopal, Mobile, AL",-88.1662405,30.6613631
St. Paul's Episcopal,Mobile,AL,USA,"St. Paul's Episcopal, Mobile, AL",-88.1345398,30.6966056
Stanhope Elmore,Millbrook,AL,USA,"Stanhope Elmore, Millbrook, AL",-86.3623863,32.4940867
Sulligent Sch,Sulligent,AL,USA,"Sulligent Sch, Sulligent, AL",-88.1305721,33.8989197
Sumter Co Sch,York,AL,USA,"Sumter Co Sch, York, AL",-88.3124687,32.4838122
Sunshine Sch,Newbern,AL,USA,"Sunshine Sch, Newbern, AL",-87.5327815,32.5931884
