"","school","city","stateProvince","country","schoolcitystate","schoolcitystate2","lon","lat"
"63","Central Sch","Tuscaloosa","AL","USA","Central Sch, Tuscaloosa, AL","Central Sch, Tuscaloosa, AL",-87.5756473,33.1995228
"64","Charles Henderson Sch","Troy","AL","USA","Charles Henderson Sch, Troy, AL","Charles Henderson Sch, Troy, AL",-85.9471008,31.8028673
"65","Chelsea Sch","Chelsea","AL","USA","Chelsea Sch, Chelsea, AL","Chelsea Sch, Chelsea, AL",-86.6356681,33.3345831
"66","Cherokee Co Sch","Centre","AL","USA","Cherokee Co Sch, Centre, AL","Cherokee Co Sch, Centre, AL",-85.684578,34.1665322
"67","Chickasaw","Chickasaw","AL","USA","Chickasaw, Chickasaw, AL","Chickasaw, Chickasaw, AL",-88.0747222,30.7637991
"68","Chilton Co Sch","Clanton","AL","USA","Chilton Co Sch, Clanton, AL","Chilton Co Sch, Clanton, AL",-86.6130254,32.8260519
"69","Choctaw County","Butler","AL","USA","Choctaw County, Butler, AL","Choctaw County, Butler, AL",-88.2219652,32.0895908
"70","Citronelle Sch","Citronelle","AL","USA","Citronelle Sch, Citronelle, AL","Citronelle Sch, Citronelle, AL",-88.2375372,31.0949327
"71","Clarke County","Grove Hill","AL","USA","Clarke County, Grove Hill, AL","Clarke County, Grove Hill, AL",-87.7772218,31.7087681
"72","Clay Central","Lineville","AL","USA","Clay Central, Lineville, AL","Clay Central, Lineville, AL",-85.7874336,33.2907082
"73","Clay Co","Ashland","AL","USA","Clay Co, Ashland, AL","Clay Co, Ashland, AL",-85.8360741,33.2737256
"74","Clay-Chalkville","Pinson","AL","USA","Clay-Chalkville, Pinson, AL","Clay-Chalkville, Pinson, AL",-86.6023597,33.6954677
"75","Clay-Chalkville High School","Pinson","AL","USA","Clay-Chalkville High School, Pinson, AL","Clay-Chalkville High School, Pinson, AL",-86.6023597,33.6954677
"76","Cleburne Co Sch","Heflin","AL","USA","Cleburne Co Sch, Heflin, AL","Cleburne Co Sch, Heflin, AL",-85.5719129,33.6481359
"77","Coffeeville Sch","Coffeeville","AL","USA","Coffeeville Sch, Coffeeville, AL","Coffeeville Sch, Coffeeville, AL",-88.0649188,31.7496381
"78","Colbert Co Sch","Leighton","AL","USA","Colbert Co Sch, Leighton, AL","Colbert Co Sch, Leighton, AL",-87.5246864,34.6958606
"79","Columbia","Huntsville","AL","USA","Columbia, Huntsville, AL","Columbia, Huntsville, AL",-86.699266,34.723229
"80","Coosa Valley Academy","Harpersville","AL","USA","Coosa Valley Academy, Harpersville, AL","Coosa Valley Academy, Harpersville, AL",-86.4301993,33.3349038
"81","Cordova","Cordova","AL","USA","Cordova, Cordova, AL","Cordova, Cordova, AL",-87.1833349,33.7598291
"82","Cottonwood Sch","Cottonwood","AL","USA","Cottonwood Sch, Cottonwood, AL","Cottonwood Sch, Cottonwood, AL",-85.3020754,31.057898
"83","Cullman Sch","Cullman","AL","USA","Cullman Sch, Cullman, AL","Cullman Sch, Cullman, AL",-86.8418216,34.1885944
"84","Dadeville","Dadeville","AL","USA","Dadeville, Dadeville, AL","Dadeville, Dadeville, AL",-85.7635692,32.831238
"85","Dale County Christian","Ozark","AL","USA","Dale County Christian, Ozark, AL","Dale County Christian, Ozark, AL",-85.5733908,31.4226563
"86","Daleville Sch","Daleville","AL","USA","Daleville Sch, Daleville, AL","Daleville Sch, Daleville, AL",-85.7113,31.3149
"87","Daleville Sch","Daleville","AL","USA","NA, Daleville, AL","Daleville, AL",-85.7129908,31.3101719
"88","Dallas County","Plantersville","AL","USA","Dallas County, Plantersville, AL","Dallas County, Plantersville, AL",-86.9244334,32.6567975
"89","Daphne","Daphne","AL","USA","Daphne, Daphne, AL","Daphne, Daphne, AL",-87.9036047,30.6035255
"90","Decatur","Decatur","AL","USA","Decatur, Decatur, AL","Decatur, Decatur, AL",-86.9718438,34.5242042
"91","Demopolis","Demopolis","AL","USA","Demopolis, Demopolis, AL","Demopolis, Demopolis, AL",-87.836402,32.5176361
"92","Deshler Sch","Tuscumbia","AL","USA","Deshler Sch, Tuscumbia, AL","Deshler Sch, Tuscumbia, AL",-87.7016101,34.7386085
"93","Dora","Dora","AL","USA","Dora, Dora, AL","Dora, Dora, AL",-87.0902772,33.728717
"94","Dothan","Dothan","AL","USA","Dothan, Dothan, AL","Dothan, Dothan, AL",-85.3904888,31.2232313
"95","East Limestone","Athens","AL","USA","East Limestone, Athens, AL","East Limestone, Athens, AL",-86.8325272,34.8168783
"96","Edgewood Academy","Elmore","AL","USA","Edgewood Academy, Elmore, AL","Edgewood Academy, Elmore, AL",-86.2928408,32.5484932
"97","Elba","Elba","AL","USA","Elba, Elba, AL","Elba, Elba, AL",-86.0677243,31.4146108
"98","Elba Sch","Elba","AL","USA","Elba Sch, Elba, AL","Elba Sch, Elba, AL",-86.1033815,31.4272981
"99","Elmore Co Sch","Eclectic","AL","USA","Elmore Co Sch, Eclectic, AL","Elmore Co Sch, Eclectic, AL",-86.2158497,32.6161498
"100","Enterprise","Enterprise","AL","USA","Enterprise, Enterprise, AL","Enterprise, Enterprise, AL",-85.8202529,31.3275478
"101","Erwin Sch","Birmingham","AL","USA","Erwin Sch, Birmingham, AL","Erwin Sch, Birmingham, AL",-86.6982328,33.6465774
"102","Escambia Academy","Atmore","AL","USA","Escambia Academy, Atmore, AL","Escambia Academy, Atmore, AL",-87.407951,31.029847
"103","Escambia Co Sch","Atmore","AL","USA","Escambia Co Sch, Atmore, AL","Escambia Co Sch, Atmore, AL",-87.4918876,31.0175852
"104","Etowah","Attalla","AL","USA","Etowah, Attalla, AL","Etowah, Attalla, AL",-86.0885852,34.0217639
"105","Eufaula","Eufaula","AL","USA","Eufaula, Eufaula, AL","Eufaula, Eufaula, AL",-85.1742202,31.8275101
"106","Fairfield Preparatory Sch","Fairfield","AL","USA","Fairfield Preparatory Sch, Fairfield, AL","Fairfield Preparatory Sch, Fairfield, AL",-86.9082481,33.4912583
"107","Fairfield Preparatory School","Fairfield","AL","USA","Fairfield Preparatory School, Fairfield, AL","Fairfield Preparatory School, Fairfield, AL",-86.9148132,33.4744807
"108","Fairhope","Fairhope","AL","USA","Fairhope, Fairhope, AL","Fairhope, Fairhope, AL",-87.9033261,30.5229719
"109","Faith Academy","Mobile","AL","USA","Faith Academy, Mobile, AL","Faith Academy, Mobile, AL",-88.2445746,30.7027574
"110","Fayette County","Fayette","AL","USA","Fayette County, Fayette, AL","Fayette County, Fayette, AL",-87.7763333,33.6871392
"111","Flomaton Sch","Flomaton","AL","USA","Flomaton Sch, Flomaton, AL","Flomaton Sch, Flomaton, AL",-87.2690495,31.0059355
"112","Flomaton Sch","Flomaton","AL","USA","NA, Flomaton, AL","Flomaton, AL",-87.260807,31.000182
"113","Florence","Florence","AL","USA","Florence, Florence, AL","Florence, Florence, AL",-87.677251,34.79981
"114","Foley","Foley","AL","USA","Foley, Foley, AL","Foley, Foley, AL",-87.6835974,30.4065868
"115","Fort Payne","Fort Payne","AL","USA","Fort Payne, Fort Payne, AL","Fort Payne, Fort Payne, AL",-85.7196893,34.4442547
"116","Fultondale","Birmingham","AL","USA","Fultondale, Birmingham, AL","Fultondale, Birmingham, AL",-86.7967857,33.6102837
"117","Gadsden City","Gadsden","AL","USA","Gadsden City, Gadsden, AL","Gadsden City, Gadsden, AL",-86.0066386,34.014264
"118","Gardendale Sch","Gardendale","AL","USA","Gardendale Sch, Gardendale, AL","Gardendale Sch, Gardendale, AL",-86.8179238,33.647223
"119","Gaston Sch","Gadsden","AL","USA","Gaston Sch, Gadsden, AL","Gaston Sch, Gadsden, AL",-85.9279238,34.0689073
"120","George Washington Carver","Birmingham","AL","USA","George Washington Carver, Birmingham, AL","George Washington Carver, Birmingham, AL",-86.8268529,33.5571297
"121","Georgiana Sch","Georgiana","AL","USA","Georgiana Sch, Georgiana, AL","Georgiana Sch, Georgiana, AL",-86.7285847,31.6280598
"122","Glenwood School","Phenix City","AL","USA","Glenwood School, Phenix City, AL","Glenwood School, Phenix City, AL",-85.0497452,32.5370292
"123","Gordo","Gordo","AL","USA","Gordo, Gordo, AL","Gordo, Gordo, AL",-87.9027962,33.3201178
"124","Gordo Sch","Gordo","AL","USA","Gordo Sch, Gordo, AL","Gordo Sch, Gordo, AL",-87.9068547,33.3249637
"125","Goshen","Goshen","AL","USA","Goshen, Goshen, AL","Goshen, Goshen, AL",-86.1182882,31.7229352
"126","Goshen Sch","Goshen","AL","USA","Goshen Sch, Goshen, AL","Goshen Sch, Goshen, AL",-86.1242048,31.7226798
"127","Greene County","Eutaw","AL","USA","Greene County, Eutaw, AL","Greene County, Eutaw, AL",-87.8875145,32.8406848
"128","Greensboro West","Greensboro","AL","USA","Greensboro West, Greensboro, AL","Greensboro West, Greensboro, AL",-87.5882996,32.7079616
"129","Greenville","Greenville","AL","USA","Greenville, Greenville, AL","Greenville, Greenville, AL",-86.6199981,31.8451189
"130","Greenville","Montgomery","AL","USA","Greenville, Montgomery, AL","Greenville, Montgomery, AL",-86.2759519,32.3767668
"131","Gulf Shores Sch","Leroy","AL","USA","Gulf Shores Sch, Leroy, AL","Gulf Shores Sch, Leroy, AL",-87.6826328,30.2696411
"132","Guntersville Sch","Guntersville","AL","USA","Guntersville Sch, Guntersville, AL","Guntersville Sch, Guntersville, AL",-86.313529,34.3199401
"133","Haleyville Sch","Haleyville","AL","USA","Haleyville Sch, Haleyville, AL","Haleyville Sch, Haleyville, AL",-87.6048658,34.2255535
"134","Handley","Roanoke","AL","USA","Handley, Roanoke, AL","Handley, Roanoke, AL",-85.372701,33.149055
"135","Hartselle","Hartselle","AL","USA","Hartselle, Hartselle, AL","Hartselle, Hartselle, AL",-86.9352842,34.4434282
"136","Hartselle Sch","Hartselle","AL","USA","Hartselle Sch, Hartselle, AL","Hartselle Sch, Hartselle, AL",-86.9212357,34.4552687
"137","Hayden","Hayden","AL","USA","Hayden, Hayden, AL","Hayden, Hayden, AL",-86.757773,33.8926003
"138","Hazel Green","Hazel Green","AL","USA","Hazel Green, Hazel Green, AL","Hazel Green, Hazel Green, AL",-86.5719383,34.9323102
"139","Hewitt-Trussville","Trussville","AL","USA","Hewitt-Trussville, Trussville, AL","Hewitt-Trussville, Trussville, AL",-86.590742,33.6658001
"140","Highland Home Sch","Highland Home","AL","USA","Highland Home Sch, Highland Home, AL","Highland Home Sch, Highland Home, AL",-86.3131159,31.9529407
"141","Hillcrest","Evergreen","AL","USA","Hillcrest, Evergreen, AL","Hillcrest, Evergreen, AL",-86.9370613,31.4309505
"142","Hillcrest","Tuscaloosa","AL","USA","Hillcrest, Tuscaloosa, AL","Hillcrest, Tuscaloosa, AL",-87.5376057,33.1299227
"143","Homewood","Birmingham","AL","USA","Homewood, Birmingham, AL","Homewood, Birmingham, AL",-86.8008228,33.4717732
"144","Hoover","Birmingham","AL","USA","Hoover, Birmingham, AL","Hoover, Birmingham, AL",-86.8113781,33.4053867
"145","Hoover","Hoover","AL","USA","Hoover, Hoover, AL","Hoover, Hoover, AL",-86.8113781,33.4053867
"146","Houston Academy","Dothan","AL","USA","Houston Academy, Dothan, AL","Houston Academy, Dothan, AL",-85.4486527,31.244063
"147","Houston Co Sch","Columbia","AL","USA","Houston Co Sch, Columbia, AL","Houston Co Sch, Columbia, AL",-85.1132884,31.2937712
"148","Hueytown","Hueytown","AL","USA","Hueytown, Hueytown, AL","Hueytown, Hueytown, AL",-86.9966606,33.4512197
"149","Huffman","Birmingham","AL","USA","Huffman, Birmingham, AL","Huffman, Birmingham, AL",-86.6732746,33.5988322
"150","Huntsville","Huntsville","AL","USA","Huntsville, Huntsville, AL","Huntsville, Huntsville, AL",-86.5861037,34.7303688
"151","IMG Academy","Tuscaloosa","AL","USA","IMG Academy, Tuscaloosa, AL","IMG Academy, Tuscaloosa, AL",-82.6086662,27.4408534
"152","J.O. Johnson","Huntsville","AL","USA","J.O. Johnson, Huntsville, AL","J.O. Johnson, Huntsville, AL",-86.609141,34.79933
"153","Jackson","Jackson","AL","USA","Jackson, Jackson, AL","Jackson, Jackson, AL",-87.8944435,31.5090521
"154","Jackson-Olin","Birmingham","AL","USA","Jackson-Olin, Birmingham, AL","Jackson-Olin, Birmingham, AL",-86.8921028,33.5184546
"155","Jacksonville Sch","Jacksonville","AL","USA","Jacksonville Sch, Jacksonville, AL","Jacksonville Sch, Jacksonville, AL",-85.7615379,33.8076125
"156","James Clemens","Madison","AL","USA","James Clemens, Madison, AL","James Clemens, Madison, AL",-86.7913915,34.7061372
"157","Jefferson Davis","Montgomery","AL","USA","Jefferson Davis, Montgomery, AL","Jefferson Davis, Montgomery, AL",-86.2623623,32.3432433
"158","Jemison","Huntsville","AL","USA","Jemison, Huntsville, AL","Jemison, Huntsville, AL",-86.615988,34.786504
"159","Jemison","Jemison","AL","USA","Jemison, Jemison, AL","Jemison, Jemison, AL",-86.7466522,32.9598451
"160","Jess Lanier","Hueytown","AL","USA","Jess Lanier, Hueytown, AL","Jess Lanier, Hueytown, AL",-86.9966606,33.4512197
"161","John Carroll Catholic","Birmingham","AL","USA","John Carroll Catholic, Birmingham, AL","John Carroll Catholic, Birmingham, AL",-86.8325202,33.4437654
"162","John L Leflore Preparatory Acad","Mobile","AL","USA","John L Leflore Preparatory Acad, Mobile, AL","John L Leflore Preparatory Acad, Mobile, AL",-88.0870103,30.7145083
"163","John S Shaw Sch","Mobile","AL","USA","John S Shaw Sch, Mobile, AL","John S Shaw Sch, Mobile, AL",-88.1837833,30.7174109
"164","John T Morgan Academy","Selma","AL","USA","John T Morgan Academy, Selma, AL","John T Morgan Academy, Selma, AL",-87.0763963,32.3898673
"165","Kingwood Christian","Tuscaloosa","AL","USA","Kingwood Christian, Tuscaloosa, AL","Kingwood Christian, Tuscaloosa, AL",-86.8235401,33.2641782
"166","La Lumiere School","Birmingham","AL","USA","La Lumiere School, Birmingham, AL","La Lumiere School, Birmingham, AL",-86.7141761,41.7054471
"167","Lafayette Sch","Lafayette","AL","USA","Lafayette Sch, Lafayette, AL","Lafayette Sch, Lafayette, AL",-85.3965592,32.8994617
"168","Lanett","Lanett","AL","USA","Lanett, Lanett, AL","Lanett, Lanett, AL",-85.1904971,32.8687391
"169","Lanett Senior Sch","Lanett","AL","USA","Lanett Senior Sch, Lanett, AL","Lanett Senior Sch, Lanett, AL",-85.1970425,32.8565288
"170","Lanier","Montgomery","AL","USA","Lanier, Montgomery, AL","Lanier, Montgomery, AL",-86.3099816,32.3558261
"171","Lauderdale Co Sch","Rogersville","AL","USA","Lauderdale Co Sch, Rogersville, AL","Lauderdale Co Sch, Rogersville, AL",-87.2895739,34.8286364
"172","Lawrence County","Moulton","AL","USA","Lawrence County, Moulton, AL","Lawrence County, Moulton, AL",-87.2933533,34.4812062
"173","Lee","Huntsville","AL","USA","Lee, Huntsville, AL","Lee, Huntsville, AL",-86.5780755,34.7556916
"174","Leeds","Leeds","AL","USA","Leeds, Leeds, AL","Leeds, Leeds, AL",-86.5444288,33.5481597
"175","Lee-scott Academy","Auburn","AL","USA","Lee-scott Academy, Auburn, AL","Lee-scott Academy, Auburn, AL",-85.4500737,32.6375663
"176","Leroy Sch","Leroy","AL","USA","Leroy Sch, Leroy, AL","Leroy Sch, Leroy, AL",-87.9708442,31.5031437
"177","Lincoln Sch","Lincoln","AL","USA","Lincoln Sch, Lincoln, AL","Lincoln Sch, Lincoln, AL",-86.1009049,33.6373017
"178","Linden Sch","Linden","AL","USA","Linden Sch, Linden, AL","Linden Sch, Linden, AL",-87.7975819,32.3095392
"179","Lineville Sch","Lineville","AL","USA","Lineville Sch, Lineville, AL","Lineville Sch, Lineville, AL",-85.7575644,33.3106516
"180","Loachapoka Sch","Notasulga","AL","USA","Loachapoka Sch, Notasulga, AL","Loachapoka Sch, Notasulga, AL",-85.5918964,32.6040231
"181","Luverne","Luverne","AL","USA","Luverne, Luverne, AL","Luverne, Luverne, AL",-86.2638492,31.7165455
"182","Macon-East Montgomery Academy","Cecil","AL","USA","Macon-East Montgomery Academy, Cecil, AL","Macon-East Montgomery Academy, Cecil, AL",-86.0123126,32.3026195
"183","Madison Academy","Madison","AL","USA","Madison Academy, Madison, AL","Madison Academy, Madison, AL",-86.7056083,34.7050932
"184","Madison Co Sch","Gurley","AL","USA","Madison Co Sch, Gurley, AL","Madison Co Sch, Gurley, AL",-86.3755916,34.7023589
"185","Madison Co Sch","Madison","AL","USA","Madison Co Sch, Madison, AL","Madison Co Sch, Madison, AL",-86.4592091,34.8551917
"186","Madison County","Gurley","AL","USA","Madison County, Gurley, AL","Madison County, Gurley, AL",-86.3758201,34.7017558
"187","Maplesville","Maplesville","AL","USA","Maplesville, Maplesville, AL","Maplesville, Maplesville, AL",-86.8716549,32.7884608
"188","Maplesville Sch","Maplesville","AL","USA","Maplesville Sch, Maplesville, AL","Maplesville Sch, Maplesville, AL",-86.8783409,32.8025733
"189","Marbury Sch","Marbury","AL","USA","Marbury Sch, Marbury, AL","Marbury Sch, Marbury, AL",-86.4738216,32.7003563
"190","McAdory","McCalla","AL","USA","McAdory, McCalla, AL","McAdory, McCalla, AL",-87.0011776,33.3314371
"191","McGill Toolen","Mobile","AL","USA","McGill Toolen, Mobile, AL","McGill Toolen, Mobile, AL",-88.0723447,30.6892674
"192","Mckenzie Sch","Mckenzie","AL","USA","Mckenzie Sch, Mckenzie, AL","Mckenzie Sch, Mckenzie, AL",-86.7151682,31.545341
"193","Midfield Sch","Birmingham","AL","USA","Midfield Sch, Birmingham, AL","Midfield Sch, Birmingham, AL",-86.9148272,33.4533627
"194","Minor","Adamsville","AL","USA","Minor, Adamsville, AL","Minor, Adamsville, AL",-86.9333123,33.5945201
"195","Mobile Christian School","Mobile","AL","USA","Mobile Christian School, Mobile, AL","Mobile Christian School, Mobile, AL",-88.1783088,30.6437135
"196","Monroe Academy","Monroeville","AL","USA","Monroe Academy, Monroeville, AL","Monroe Academy, Monroeville, AL",-87.3404181,31.4748546
"197","Montevallo","Montevallo","AL","USA","Montevallo, Montevallo, AL","Montevallo, Montevallo, AL",-86.8641558,33.1006746
"198","Montgomery Catholic Preparatory","Montgomery","AL","USA","Montgomery Catholic Preparatory, Montgomery, AL","Montgomery Catholic Preparatory, Montgomery, AL",-86.2160027,32.3400861
"199","Moody Sch","Moody","AL","USA","Moody Sch, Moody, AL","Moody Sch, Moody, AL",-86.4599754,33.610698
"200","Mortimer Jordan","Morris","AL","USA","Mortimer Jordan, Morris, AL","Mortimer Jordan, Morris, AL",-86.7664763,33.7864043
"201","Mountain Brook","Birmingham","AL","USA","Mountain Brook, Birmingham, AL","Mountain Brook, Birmingham, AL",-86.7522107,33.5009384
"202","Mountain View Baptist School","Birmingham","AL","USA","Mountain View Baptist School, Birmingham, AL","Mountain View Baptist School, Birmingham, AL",-86.636262,33.6525379
"203","Mt Brook Sch","Birmingham","AL","USA","Mt Brook Sch, Birmingham, AL","Mt Brook Sch, Birmingham, AL",-86.754141,33.502024
"204","Munford","Munford","AL","USA","Munford, Munford, AL","Munford, Munford, AL",-85.9508005,33.5298282
"205","Murphy","Mobile","AL","USA","Murphy, Mobile, AL","Murphy, Mobile, AL",-88.0866304,30.682838
"206","Muscle Shoals","Athens","AL","USA","Muscle Shoals, Athens, AL","Muscle Shoals, Athens, AL",-87.6461845,34.7430844
"207","Muscle Shoals","Cherokee","AL","USA","Muscle Shoals, Cherokee, AL","Muscle Shoals, Cherokee, AL",-87.6681637,34.7322293
